product_name,price,rating,reviews_count,source,query,page,name_len,has_pro,has_ultra,reviews_bucket
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,52990,4.42,254,Flipkart,laptop,1,105,0,0,medium
ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 N305 - (8 GB/512 GB SSD/Window...,39990,4.3369,33,Flipkart,laptop,1,105,0,0,very_low
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ131WS | ...,33990,4.31,108,Flipkart,laptop,1,105,0,0,low
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i5 13th Gen 1335U...",45990,4.574,3,Flipkart,laptop,1,105,0,0,very_low
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,76990,4.473,81,Flipkart,laptop,1,105,0,0,low
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,11990,4.272,161,Flipkart,laptop,1,105,0,0,low
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,24699,3.87,680,Flipkart,laptop,1,105,0,0,medium
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,18590,3.87,680,Flipkart,laptop,1,105,0,0,medium
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS...,41990,4.34,364,Flipkart,laptop,1,105,0,0,medium
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/1 TB SSD/Wind...,64990,4.473,81,Flipkart,laptop,1,105,0,0,low
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi...,84990,4.473,81,Flipkart,laptop,1,105,0,0,low
Acer Aspire 3 Intel Celeron Dual Core N4500 - (12 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Ligh...,28990,3.93,274,Flipkart,laptop,1,105,0,0,medium
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,22990,3.87,680,Flipkart,laptop,1,105,0,0,medium
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) OVN353025001RINB1O Thin and ...,40490,4.2565,40,Flipkart,laptop,1,105,0,0,very_low
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,32990,4.31,108,Flipkart,laptop,1,105,0,0,low
MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen) Intel Core 7 (Series 2) 240H - (16 GB/512 GB SSD/Wi...,60990,4.473,81,Flipkart,laptop,1,105,0,0,low
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin a...,29990,4.1778,93,Flipkart,laptop,1,105,0,0,low
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/1 TB SSD/Windows 11 Home) A325-42 / AS15-42...,45990,4.11,118,Flipkart,laptop,1,105,0,0,low
Acer 3 Years Warranty Aspire 3 (2025) Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home...,38590,4.175,13,Flipkart,laptop,1,105,0,0,very_low
